Наименование;Агент;Широта;Долгота;СуммаПродаж;КоличествоДокументов;ПериодС;ПериодПо
"Супермаркет "Март" ул.Братья Нурбагандовых 41 т.8928 558 87 22 Бурлият";"ТЭ Сайбунов Магомедрасул (чабан)";42.970378;47.514385;65 473.00;5;2026-02-01;2026-05-31
"Супермаркет "Мята" ул. Ирчи Казака 51а т.8-988-423-42-36 Залина";"ТЭ Сайбунов Магомедрасул (чабан)";42.965582;47.504384;1 033 751.00;33;2026-02-01;2026-05-31
"Супермаркет "Наш"  ул.  Гамидова 18  т.8 928 585 90 09 Эльвира";"ТЭ Сайбунов Магомедрасул (чабан)";42.963392;47.511963;309 199.00;14;2026-02-01;2026-05-31
"Супермаркет "Ореховая роща" ул.Гагарина 118 т. 8 964 001 64 02 Камиль ";"ТЭ Сайбунов Магомедрасул (чабан)";42.950455;47.516363;457 117.00;15;2026-02-01;2026-05-31
"Супермаркет "Островок" ул.И.Казака 10";"ТЭ Сайбунов Магомедрасул (чабан)";42.964967;47.504070;126 089.00;10;2026-02-01;2026-05-31
"Супермаркет "София",  ул. Гамидова 24";"ТЭ Сайбунов Магомедрасул (чабан)";42.960502;47.510066;126 527.00;17;2026-02-01;2026-05-31
"Супермаркет "Яблочко" , ул. Юсупова 80 т.8-928-500-15-70 Марьям 8988 782 17 82";"ТЭ Сайбунов Магомедрасул (чабан)";42.964905;47.510107;948 959.00;33;2026-02-01;2026-05-31
" ИП Абдулаев Гаджимурад У. Гастроном "Миарсо" ул. Ахметхан султана 294. т. 8989 888 94 39 Аида";"ТЭ Солтанбеков Мурад (нд)";42.920455;47.521647;380 811.00;11;2026-02-01;2026-05-31
" ИП Гаджибуттаева Хаписат Г.Супермаркет "Центральный", ул.Центральная 33А";"ТЭ Солтанбеков Мурад (нд)";42.949887;47.503340;611 181.00;29;2026-02-01;2026-05-31
" ИП Чапанов Шамиль К.  "Даркстор",  ул.Декоративная 24А. тел 8 999-841-454 Махмуд";"ТЭ Солтанбеков Мурад (нд)";42.94483952;47.51115382;48 131.00;10;2026-02-01;2026-05-31
" ИП Яхъяева Зулхужат ООО "Кавказ Регион Лифт"с-т "Магнат" ул.Зоя Космоденьянская 50 ";"ТЭ Солтанбеков Мурад (нд)";42.948570;47.514413;498 067.00;27;2026-02-01;2026-05-31
" Супермаркет  "24 часа" "Отличный"  ул.Кавказская 36 а  п.КЯХУЛАЙ   8 928 879 14";"ТЭ Солтанбеков Мурад (нд)";42.940653;47.517925;202 199.00;13;2026-02-01;2026-05-31
"Выпечка  "Рафаэлло" , ул.Гагарина 80/1  т. 8 988 298 04 20";"ТЭ Солтанбеков Мурад (нд)";42.954543;47.507172;131 652.00;5;2026-02-01;2026-05-31
"Выпечка "Рафаэлло" ул.Орджоникидзе 146/1";"ТЭ Солтанбеков Мурад (нд)";42.577300;47.862588;88 876.00;5;2026-02-01;2026-05-31
"Гастроном  "Оптовик", ул.А-Султана 3а,тел:8 928 834 44 23  Руслан";"ТЭ Солтанбеков Мурад (нд)";42.866928;47.665525;442 021.00;17;2026-02-01;2026-05-31
"Гастроном "Айваз" ул.Зоя Космоденьянская 25";"ТЭ Солтанбеков Мурад (нд)";42.949583;47.506948;187 145.00;17;2026-02-01;2026-05-31
"Гастроном "Баракат" ул.А.Султана 16 8 988 220 13 22";"ТЭ Солтанбеков Мурад (нд)";42.944863;47.507190;147 945.00;19;2026-02-01;2026-05-31
"Гастроном "Городской" 74 т. 8928 560 05 34";"ТЭ Солтанбеков Мурад (нд)";42.935372;47.519978;89 018.00;15;2026-02-01;2026-05-31
"Гастроном "Даги" Зарипад  т. 8928 514 70 17 ";"ТЭ Солтанбеков Мурад (нд)";42.929220;47.524195;88 710.00;8;2026-02-01;2026-05-31
"Гастроном "Диана" ул.Мурадова 2Б  т.8 928 805 97 82";"ТЭ Солтанбеков Мурад (нд)";42.947445;47.513395;237 758.00;18;2026-02-01;2026-05-31
"Гастроном "Кара куре"";"ТЭ Солтанбеков Мурад (нд)";42.947382;47.506270;136 750.00;15;2026-02-01;2026-05-31
"Гастроном "Лайм" ";"ТЭ Солтанбеков Мурад (нд)";42.928618;47.520688;182 758.00;22;2026-02-01;2026-05-31
"Гастроном "Мясо-куры"";"ТЭ Солтанбеков Мурад (нд)";42.948377;47.514862;121 993.00;12;2026-02-01;2026-05-31
"Гастроном "Нур" ул.А.Султана 2";"ТЭ Солтанбеков Мурад (нд)";42.873493;47.647455;105 589.00;20;2026-02-01;2026-05-31
"Гастроном "Оазис" ул. А. Султан 3л / 8 (988) 455 28 85 Иманият ";"ТЭ Солтанбеков Мурад (нд)";42.945128;47.508917;212 790.00;24;2026-02-01;2026-05-31
"Гастроном "Опт-цена" ул.Мебельная 76,т..8989-878-56-02 Муслимат";"ТЭ Солтанбеков Мурад (нд)";42.964348;47.480033;91 338.00;12;2026-02-01;2026-05-31
"Гастроном "Оптовик"  ул.Гаджимурадова 21 п.Новый Кяхулай т. 8 928 984 66 51";"ТЭ Солтанбеков Мурад (нд)";42.940443;47.517622;182 932.00;14;2026-02-01;2026-05-31
"Гастроном "Оптово-розничный",  ул.А.Султана 88   т.  8 928 567 83 53";"ТЭ Солтанбеков Мурад (нд)";42.928932;47.519335;51 287.00;8;2026-02-01;2026-05-31
"Гастроном "Питомник". ул. А. Султана 26б. т. 8928 052 38 98 ";"ТЭ Солтанбеков Мурад (нд)";42.940833;47.509943;146 367.00;14;2026-02-01;2026-05-31
"Гастроном "Порт-Петровск" ул.А.Султана 2Б";"ТЭ Солтанбеков Мурад (нд)";42.948385;47.514982;232 167.00;25;2026-02-01;2026-05-31
"Гастроном "Престиж". ул. Дачная 79. т. 8938 801 52 54";"ТЭ Солтанбеков Мурад (нд)";42.944696;47.512286;161 238.00;20;2026-02-01;2026-05-31
"Гастроном "Ручеек",  АТП конечная 12А (на мосту)";"ТЭ Солтанбеков Мурад (нд)";42.975617;47.483012;186 334.00;13;2026-02-01;2026-05-31
"Гастроном "Тамара"";"ТЭ Солтанбеков Мурад (нд)";42.938583;47.524552;143 951.00;25;2026-02-01;2026-05-31
"Гастроном "Тарки-377" п.Тарки,тел..8 928 508 57 95 Нурият";"ТЭ Солтанбеков Мурад (нд)";42.956238;47.517473;152 967.00;18;2026-02-01;2026-05-31
"Гастроном "Ума" Старый Кяхулай ул.Школьная 11. т. 8964 051 24 86";"ТЭ Солтанбеков Мурад (нд)";42.964685;47.481363;130 898.00;38;2026-02-01;2026-05-31
"Гастроном "Ханум". ул. Школьная 17, т. 8929 876 91 99 ";"ТЭ Солтанбеков Мурад (нд)";42.964597;47.481368;207 938.00;43;2026-02-01;2026-05-31
"Гастроном "Эля"";"ТЭ Солтанбеков Мурад (нд)";42.944807;47.512258;71 696.00;14;2026-02-01;2026-05-31
"Гастроном "Южный",  ул.А.Султана (Юго-восточный 70)";"ТЭ Солтанбеков Мурад (нд)";42.906822;47.525039;288 271.00;22;2026-02-01;2026-05-31
"Гастроном 54 б,ул.Зои Космодемьянской т.8988 869 53 44";"ТЭ Солтанбеков Мурад (нд)";42.946892;47.512363;137 828.00;23;2026-02-01;2026-05-31
"Гастроном Напротив "Лидер-техники"  т. 928 502 62 36 Ляля";"ТЭ Солтанбеков Мурад (нд)";42.925447;47.520730;122 799.00;21;2026-02-01;2026-05-31
"Гастроном ул.,  А.Султана 16   8 928 547 67 00";"ТЭ Солтанбеков Мурад (нд)";42.944818;47.507062;271 828.00;14;2026-02-01;2026-05-31
"Гастроном ул.Зоя Космодемьянская 1";"ТЭ Солтанбеков Мурад (нд)";42.950782;47.504818;121 549.00;19;2026-02-01;2026-05-31
"Гастроном ул.Тимирязева 90";"ТЭ Солтанбеков Мурад (нд)";42.948547;47.514542;117 737.00;14;2026-02-01;2026-05-31
"Гастроном-Мороженое, ул. А.Султана 70а. т. 8928 596 17 40 ";"ТЭ Солтанбеков Мурад (нд)";42.936243;47.514923;53 729.00;9;2026-02-01;2026-05-31
"Гастроном, ул.Гайдара 2 (район З..Космодемьянской)";"ТЭ Солтанбеков Мурад (нд)";42.890108;47.634367;182 237.00;25;2026-02-01;2026-05-31
"Гастроном"Оптовик"  ул.Мамедова 51/1.тел.8964-049-72-90";"ТЭ Солтанбеков Мурад (нд)";42.944390;47.521313;160 203.00;17;2026-02-01;2026-05-31
"Дабишев Мурад Ю. (ИП) Супермаркет "Стриж" ул.Производственная 3 (А,Султана) т.8 988 653 05 05";"ТЭ Солтанбеков Мурад (нд)";42.927435;47.522789;854 577.00;29;2026-02-01;2026-05-31
"ИП Гаджиева Хадижат, Супермаркет "Анжи", ул.Зоя Космоденьянская 46";"ТЭ Солтанбеков Мурад (нд)";42.947542;47.509742;161 697.00;21;2026-02-01;2026-05-31
"ИП Максудов Магомед с-т "Джатей", ул,Абубакара 1 т. 8(989)-890-74-44 Магомед";"ТЭ Солтанбеков Мурад (нд)";42.940154;47.517910;1 978 886.00;33;2026-02-01;2026-05-31
"ИП НЕ ВЫПИСЫВАТЬ Салимов М.Х.  "Миарсо" ул.А.Султана 127  (бывш."Тропики") т. 8 989 888 94 39  Аида ";"ТЭ Солтанбеков Мурад (нд)";42.919430;47.521543;171 657.00;6;2026-02-01;2026-05-31
"Пекарня "Ассорти" Новый Кяхулай. Ул Халида-Мухтарова 2 8989 658 66 49";"ТЭ Солтанбеков Мурад (нд)";42.942287;47.521863;337 641.00;9;2026-02-01;2026-05-31
"Полуфабрикаты Цех ул.З.Космодемьянская т. 8 989 443 47 55 ";"ТЭ Солтанбеков Мурад (нд)";42.944785;47.511995;105 440.00;7;2026-02-01;2026-05-31
"Супермаркет  "Оптовик", Пос. Н. Кяхулай,ул. А. Макаева 70 т.  8989 452 6136 ума";"ТЭ Солтанбеков Мурад (нд)";42.922128;47.580643;130 391.00;21;2026-02-01;2026-05-31
"Супермаркет "05", ул,Зоя Космодемьянская 54 Ж т.8928 286 54 10 Роза";"ТЭ Солтанбеков Мурад (нд)";42.920328;47.582375;620 487.00;46;2026-02-01;2026-05-31
"Супермаркет "Алиф",  ул.А.Султана, напротив Мед.колледжа Башларова    8 928 545 58 70";"ТЭ Солтанбеков Мурад (нд)";42.919430;47.521543;408 993.00;28;2026-02-01;2026-05-31
"Супермаркет "Ариада"  ул. А.Султана 3 А   т. 8 989 454 14 59 Гаджимурад ";"ТЭ Солтанбеков Мурад (нд)";42.944955;47.510418;1 108 974.00;49;2026-02-01;2026-05-31
"Супермаркет "Асорти", Новый Кяхулай, ул. Халида Мухтарова. т. 8928 550 30 90 Патимат";"ТЭ Солтанбеков Мурад (нд)";42.941352;47.520132;467 222.00;17;2026-02-01;2026-05-31
"Супермаркет "Белла" ул.А.Султана 4Б 8928 679 43 56";"ТЭ Солтанбеков Мурад (нд)";42.948978;47.502940;256 390.00;18;2026-02-01;2026-05-31
"Супермаркет "Гранд" ул.Зоя Космоденьянская т. 8988 773 05 09";"ТЭ Солтанбеков Мурад (нд)";42.945715;47.512328;232 287.00;26;2026-02-01;2026-05-31
"Супермаркет "Граница" ";"ТЭ Солтанбеков Мурад (нд)";42.967753;47.478322;270 644.00;34;2026-02-01;2026-05-31
"Супермаркет "Королек" ул.А.Султана 8 С   8 963 374 34 38";"ТЭ Солтанбеков Мурад (нд)";42.947273;47.506250;527 713.00;25;2026-02-01;2026-05-31
"Супермаркет "Луна" ул.Цахая Макаева  8 989 665 46 12";"ТЭ Солтанбеков Мурад (нд)";42.936322;47.526225;447 110.00;26;2026-02-01;2026-05-31
"Супермаркет "Мята" ул.Аметхан Султана 5а т. 8928 565 99 52  Патимат";"ТЭ Солтанбеков Мурад (нд)";42.946912;47.506127;656 305.00;31;2026-02-01;2026-05-31
"Супермаркет "Океан" ул.А.Султана 10";"ТЭ Солтанбеков Мурад (нд)";42.947210;47.505172;401 553.00;32;2026-02-01;2026-05-31
"Супермаркет "Патимат" ул.А.Султана 73 ";"ТЭ Солтанбеков Мурад (нд)";42.929973;47.519083;274 682.00;21;2026-02-01;2026-05-31
"Супермаркет "Салам", ул. Амет-хан Султана 234";"ТЭ Солтанбеков Мурад (нд)";42.964122;47.479305;602 725.00;13;2026-02-01;2026-05-31
"Супермаркет "Свой" ул.Кавказская 37 т.8988 467 28 21 Лейла";"ТЭ Солтанбеков Мурад (нд)";42.940753;47.518347;228 688.00;13;2026-02-01;2026-05-31
"Супермаркет "Фруктовый сад" ул.Юго-восточная  28,т.8928-052-15-97 Парида";"ТЭ Солтанбеков Мурад (нд)";42.912555;47.523848;285 401.00;27;2026-02-01;2026-05-31
"Супермаркет "Штурман" ";"ТЭ Солтанбеков Мурад (нд)";42.960765;47.485680;207 256.00;29;2026-02-01;2026-05-31
"Супермаркет "Экзотика" ул.А.Султана 64";"ТЭ Солтанбеков Мурад (нд)";42.931574;47.518585;529 913.00;29;2026-02-01;2026-05-31
"Супермаркет "Ярмарка" ул. А. Султана 8 / 8-964-005-60-99 Кавсарат";"ТЭ Солтанбеков Мурад (нд)";42.948678;47.505225;196 876.00;20;2026-02-01;2026-05-31
"Супермаркет"Арбуз" ул. А.Султана 134,тел.. 8988-786-60-05 Иманият";"ТЭ Солтанбеков Мурад (нд)";42.904000;47.593168;245 745.00;24;2026-02-01;2026-05-31
" ИП Абдулаев Гаджимурад У. Гастроном "Миарсо" ул. Ахметхан султана 294. т. 8989 888 94 39 Аида";"ТЭ Солтанбеков Раджаб (чабан)";42.920455;47.521647;349 459.00;8;2026-02-01;2026-05-31
" ИП Гаджибуттаева Хаписат Г.Супермаркет "Центральный", ул.Центральная 33А";"ТЭ Солтанбеков Раджаб (чабан)";42.949887;47.503340;885 326.00;29;2026-02-01;2026-05-31
" ИП Чапанов Шамиль К.  "Даркстор",  ул.Декоративная 24А. тел 8 999-841-454 Махмуд";"ТЭ Солтанбеков Раджаб (чабан)";42.94483952;47.51115382;128 756.00;9;2026-02-01;2026-05-31
" ИП Яхъяева Зулхужат ООО "Кавказ Регион Лифт"с-т "Магнат" ул.Зоя Космоденьянская 50 ";"ТЭ Солтанбеков Раджаб (чабан)";42.948570;47.514413;323 651.00;18;2026-02-01;2026-05-31
" Супермаркет  "24 часа" "Отличный"  ул.Кавказская 36 а  п.КЯХУЛАЙ   8 928 879 14";"ТЭ Солтанбеков Раджаб (чабан)";42.940653;47.517925;197 966.00;11;2026-02-01;2026-05-31
"Выпечка "Рафаэлло" ул.Орджоникидзе 146/1";"ТЭ Солтанбеков Раджаб (чабан)";42.577300;47.862588;41 017.00;4;2026-02-01;2026-05-31
"Гастроном  "Оптовик", ул.А-Султана 3а,тел:8 928 834 44 23  Руслан";"ТЭ Солтанбеков Раджаб (чабан)";42.866928;47.665525;337 345.00;15;2026-02-01;2026-05-31
"Гастроном "Алпан" Новый Кяхулай ул.ХизриМагомедова 82 т.89285707715";"ТЭ Солтанбеков Раджаб (чабан)";42.933068;47.519164;203 195.00;13;2026-02-01;2026-05-31
"Гастроном "Городской" 74 т. 8928 560 05 34";"ТЭ Солтанбеков Раджаб (чабан)";42.935372;47.519978;257 380.00;18;2026-02-01;2026-05-31
"Гастроном "Даги" Зарипад  т. 8928 514 70 17 ";"ТЭ Солтанбеков Раджаб (чабан)";42.929220;47.524195;182 657.00;14;2026-02-01;2026-05-31
"Гастроном "Диана" ул.Мурадова 2Б  т.8 928 805 97 82";"ТЭ Солтанбеков Раджаб (чабан)";42.947445;47.513395;221 931.00;14;2026-02-01;2026-05-31
"Гастроном "Опт-цена" ул.Мебельная 76,т..8989-878-56-02 Муслимат";"ТЭ Солтанбеков Раджаб (чабан)";42.964348;47.480033;148 943.00;6;2026-02-01;2026-05-31
"Гастроном "Оптовик"  ул.Гаджимурадова 21 п.Новый Кяхулай т. 8 928 984 66 51";"ТЭ Солтанбеков Раджаб (чабан)";42.940443;47.517622;130 861.00;6;2026-02-01;2026-05-31
"Гастроном "Питомник". ул. А. Султана 26б. т. 8928 052 38 98 ";"ТЭ Солтанбеков Раджаб (чабан)";42.940833;47.509943;152 220.00;20;2026-02-01;2026-05-31
"Гастроном "Порт-Петровск" ул.А.Султана 2Б";"ТЭ Солтанбеков Раджаб (чабан)";42.948385;47.514982;295 537.00;24;2026-02-01;2026-05-31
"Гастроном "Престиж". ул. Дачная 79. т. 8938 801 52 54";"ТЭ Солтанбеков Раджаб (чабан)";42.944696;47.512286;118 934.00;15;2026-02-01;2026-05-31
"Гастроном "Ручеек",  АТП конечная 12А (на мосту)";"ТЭ Солтанбеков Раджаб (чабан)";42.975617;47.483012;249 243.00;13;2026-02-01;2026-05-31
"Гастроном "Тарки-377" п.Тарки,тел..8 928 508 57 95 Нурият";"ТЭ Солтанбеков Раджаб (чабан)";42.956238;47.517473;163 434.00;19;2026-02-01;2026-05-31
"Гастроном "Ума" Старый Кяхулай ул.Школьная 11. т. 8964 051 24 86";"ТЭ Солтанбеков Раджаб (чабан)";42.964685;47.481363;154 070.00;34;2026-02-01;2026-05-31
"Гастроном "Ханум". ул. Школьная 17, т. 8929 876 91 99 ";"ТЭ Солтанбеков Раджаб (чабан)";42.964597;47.481368;182 256.00;35;2026-02-01;2026-05-31
"Гастроном "Южный",  ул.А.Султана (Юго-восточный 70)";"ТЭ Солтанбеков Раджаб (чабан)";42.906822;47.525039;401 296.00;26;2026-02-01;2026-05-31
"Гастроном 54 б,ул.Зои Космодемьянской т.8988 869 53 44";"ТЭ Солтанбеков Раджаб (чабан)";42.946892;47.512363;170 186.00;22;2026-02-01;2026-05-31
"Гастроном Напротив "Лидер-техники"  т. 928 502 62 36 Ляля";"ТЭ Солтанбеков Раджаб (чабан)";42.925447;47.520730;129 040.00;32;2026-02-01;2026-05-31
"Гастроном ул.,  А.Султана 16   8 928 547 67 00";"ТЭ Солтанбеков Раджаб (чабан)";42.944818;47.507062;301 623.00;16;2026-02-01;2026-05-31
"Гастроном-Мороженое, ул. А.Султана 70а. т. 8928 596 17 40 ";"ТЭ Солтанбеков Раджаб (чабан)";42.936243;47.514923;230 990.00;26;2026-02-01;2026-05-31
"Гастроном, ул.Гайдара 2 (район З..Космодемьянской)";"ТЭ Солтанбеков Раджаб (чабан)";42.890108;47.634367;205 756.00;22;2026-02-01;2026-05-31
"Гастроном"Оптовик"  ул.Мамедова 51/1.тел.8964-049-72-90";"ТЭ Солтанбеков Раджаб (чабан)";42.944390;47.521313;107 202.00;19;2026-02-01;2026-05-31
"Дабишев Мурад Ю. (ИП) Супермаркет "Стриж" ул.Производственная 3 (А,Султана) т.8 988 653 05 05";"ТЭ Солтанбеков Раджаб (чабан)";42.927435;47.522789;920 867.00;29;2026-02-01;2026-05-31
"ИП Гаджиева Хадижат, Супермаркет "Анжи", ул.Зоя Космоденьянская 46";"ТЭ Солтанбеков Раджаб (чабан)";42.947542;47.509742;88 198.00;21;2026-02-01;2026-05-31
"ИП Максудов Магомед с-т "Джатей", ул,Абубакара 1 т. 8(989)-890-74-44 Магомед";"ТЭ Солтанбеков Раджаб (чабан)";42.940154;47.517910;2 212 827.00;37;2026-02-01;2026-05-31
"ИП НЕ ВЫПИСЫВАТЬ Салимов М.Х.  "Миарсо" ул.А.Султана 127  (бывш."Тропики") т. 8 989 888 94 39  Аида ";"ТЭ Солтанбеков Раджаб (чабан)";42.919430;47.521543;387 426.00;8;2026-02-01;2026-05-31
"Пекарня "Ассорти" Новый Кяхулай. Ул Халида-Мухтарова 2 8989 658 66 49";"ТЭ Солтанбеков Раджаб (чабан)";42.942287;47.521863;191 705.00;9;2026-02-01;2026-05-31
"Садик "Кроха" ул.А.Султана 102  т. 8928 048 01 80";"ТЭ Солтанбеков Раджаб (чабан)";42.948179;47.506093;110 372.00;15;2026-02-01;2026-05-31
"Супермаркет  "Оптовик", Пос. Н. Кяхулай,ул. А. Макаева 70 т.  8989 452 6136 ума";"ТЭ Солтанбеков Раджаб (чабан)";42.922128;47.580643;93 308.00;16;2026-02-01;2026-05-31
"Супермаркет "05", ул,Зоя Космодемьянская 54 Ж т.8928 286 54 10 Роза";"ТЭ Солтанбеков Раджаб (чабан)";42.920328;47.582375;354 062.00;47;2026-02-01;2026-05-31
"Супермаркет "Алиф",  ул.А.Султана, напротив Мед.колледжа Башларова    8 928 545 58 70";"ТЭ Солтанбеков Раджаб (чабан)";42.919430;47.521543;422 462.00;33;2026-02-01;2026-05-31
"Супермаркет "Ариада"  ул. А.Султана 3 А   т. 8 989 454 14 59 Гаджимурад ";"ТЭ Солтанбеков Раджаб (чабан)";42.944955;47.510418;1 258 861.00;48;2026-02-01;2026-05-31
"Супермаркет "Асорти", Новый Кяхулай, ул. Халида Мухтарова. т. 8928 550 30 90 Патимат";"ТЭ Солтанбеков Раджаб (чабан)";42.941352;47.520132;232 318.00;11;2026-02-01;2026-05-31
"Супермаркет "Белла" ул.А.Султана 4Б 8928 679 43 56";"ТЭ Солтанбеков Раджаб (чабан)";42.948978;47.502940;322 509.00;21;2026-02-01;2026-05-31
"Супермаркет "Гранд" ул.Зоя Космоденьянская т. 8988 773 05 09";"ТЭ Солтанбеков Раджаб (чабан)";42.945715;47.512328;191 244.00;30;2026-02-01;2026-05-31
"Супермаркет "Королек" ул.А.Султана 8 С   8 963 374 34 38";"ТЭ Солтанбеков Раджаб (чабан)";42.947273;47.506250;628 994.00;27;2026-02-01;2026-05-31
"Супермаркет "Луна" ул.Цахая Макаева  8 989 665 46 12";"ТЭ Солтанбеков Раджаб (чабан)";42.936322;47.526225;520 207.00;32;2026-02-01;2026-05-31
"Супермаркет "Мята" ул.Аметхан Султана 5а т. 8928 565 99 52  Патимат";"ТЭ Солтанбеков Раджаб (чабан)";42.946912;47.506127;726 328.00;31;2026-02-01;2026-05-31
"Супермаркет "Океан" ул.А.Султана 10";"ТЭ Солтанбеков Раджаб (чабан)";42.947210;47.505172;460 321.00;33;2026-02-01;2026-05-31
"Супермаркет "Патимат" ул.А.Султана 73 ";"ТЭ Солтанбеков Раджаб (чабан)";42.929973;47.519083;230 953.00;38;2026-02-01;2026-05-31
"Супермаркет "Салам", ул. Амет-хан Султана 234";"ТЭ Солтанбеков Раджаб (чабан)";42.964122;47.479305;1 103 960.00;23;2026-02-01;2026-05-31
"Супермаркет "Фруктовый сад" ул.Юго-восточная  28,т.8928-052-15-97 Парида";"ТЭ Солтанбеков Раджаб (чабан)";42.912555;47.523848;291 292.00;29;2026-02-01;2026-05-31
"Супермаркет "Штурман" ";"ТЭ Солтанбеков Раджаб (чабан)";42.960765;47.485680;302 992.00;36;2026-02-01;2026-05-31
"Супермаркет "Экзотика" ул.А.Султана 64";"ТЭ Солтанбеков Раджаб (чабан)";42.931574;47.518585;623 691.00;31;2026-02-01;2026-05-31
"Супермаркет "Ярмарка" ул. А. Султана 8 / 8-964-005-60-99 Кавсарат";"ТЭ Солтанбеков Раджаб (чабан)";42.948678;47.505225;201 517.00;26;2026-02-01;2026-05-31
"Супермаркет"Арбуз" ул. А.Султана 134,тел.. 8988-786-60-05 Иманият";"ТЭ Солтанбеков Раджаб (чабан)";42.904000;47.593168;414 494.00;32;2026-02-01;2026-05-31
" ИП Гаджиев Абдула М-ч.Супермаркет"Перец" ул.Эльзы Ибрагимовой 27Д т.8 967 402 58 78 Мухтар";"ТЭ Хачаалиева Гуарша (чабан)";42.967153;47.535992;590 640.00;16;2026-02-01;2026-05-31
" ИП Керимов Забирхан Р. Гастр-м"Мега-полис", ул.Гапцахская 8,Приморский р-н 8906 447 36 84 Альбина.";"ТЭ Хачаалиева Гуарша (чабан)";42.955686;47.561339;195 351.00;11;2026-02-01;2026-05-31
" ИП Магамедова Жамилат Яхьяевна С-т "Прибой" ул.Петра Первого д.103А,т..8938-788-19-60";"ТЭ Хачаалиева Гуарша (чабан)";42.964334;47.546732;665 196.00;24;2026-02-01;2026-05-31
" ИП Меджидов Гусен Т.  (ИП Алиев Али М) С-т  "24/7" ул. Булача 9 "а",т..8 928 672 22 66 Али";"ТЭ Хачаалиева Гуарша (чабан)";42.953876;47.543238;2 128 455.00;46;2026-02-01;2026-05-31
" ООО "Мегаполис", А.Супермаркет"Рублевск" ул.Просвещения 3 (Редуктор) гост.Крепость 8928 677 76 37";"ТЭ Хачаалиева Гуарша (чабан)";42.948827;47.566629;449 443.00;20;2026-02-01;2026-05-31
" ООО "ЭЛИТ" С/т "Отличный" 24/7, Мекегинский ";"ТЭ Хачаалиева Гуарша (чабан)";42.955729;47.564694;1 062 853.00;25;2026-02-01;2026-05-31
"(ООО) "Зиг Заг" Гастроном "Чайка" Петра Первого 49 "о" (р-м с мультимаркетом) / Оля - 928 670 56 97";"ТЭ Хачаалиева Гуарша (чабан)";42.962894;47.550854;124 356.00;26;2026-02-01;2026-05-31
"Выпечка (напротив Бриза) ул.П.Первого 59 т. 8 966 081 77 77";"ТЭ Хачаалиева Гуарша (чабан)";42.960887;47.554786;196 968.00;30;2026-02-01;2026-05-31
"Гастроном  "44" ул. Насрудинова 33 И ( бывшая Петра первого 44) тел +7 964 014-65-80 Джамиля";"ТЭ Хачаалиева Гуарша (чабан)";42.95492666;47.55483627;131 931.00;15;2026-02-01;2026-05-31
"Гастроном  ул. Заморская 15 //   8 988 653 63 74  Эсмира";"ТЭ Хачаалиева Гуарша (чабан)";42.959317;47.560705;163 181.00;12;2026-02-01;2026-05-31
"Гастроном "007" ул. Лаптиева 55 "а"  8(964) 008-17-77 Барият";"ТЭ Хачаалиева Гуарша (чабан)";42.963715;47.550250;201 245.00;24;2026-02-01;2026-05-31
"Гастроном "007", ул. Дагестанская 120";"ТЭ Хачаалиева Гуарша (чабан)";42.944809;47.577154;218 368.00;11;2026-02-01;2026-05-31
"Гастроном "7" ул.Надежда 5,т..8908-977-77-82 Сайганат";"ТЭ Хачаалиева Гуарша (чабан)";42.946326;47.568921;92 043.00;12;2026-02-01;2026-05-31
"Гастроном "Алина", ул. Петра Первого 45 / 928 679 62 30";"ТЭ Хачаалиева Гуарша (чабан)";42.962952;47.549534;155 083.00;18;2026-02-01;2026-05-31
"Гастроном "Бриз",  ул. Петра Первого 59 "д" / Рая - 928 531 53 11";"ТЭ Хачаалиева Гуарша (чабан)";42.961544;47.555400;260 631.00;18;2026-02-01;2026-05-31
"Гастроном "Вкусняшки", ул. Магарамкентская 49, р-н Приморский / Аида 989 880 14 84 ";"ТЭ Хачаалиева Гуарша (чабан)";42.956957;47.562561;150 715.00;22;2026-02-01;2026-05-31
"Гастроном "Все для Вас" ул. Лаптиева 53 "г" /Ума (софия)";"ТЭ Хачаалиева Гуарша (чабан)";42.968758;47.540511;173 507.00;16;2026-02-01;2026-05-31
"Гастроном "Все для Вас",  ул. Лаптиева 39 / Суват - 963 426 54 57";"ТЭ Хачаалиева Гуарша (чабан)";42.96941643;47.53928751;480 879.00;32;2026-02-01;2026-05-31
"Гастроном "Городок" ул. Азизова 5 (1-й тупик) тел. 89898613976 Алихан ";"ТЭ Хачаалиева Гуарша (чабан)";42.963068;47.531030;71 556.00;10;2026-02-01;2026-05-31
"Гастроном "Дипломат" Петра Первого 51 / Айна - 988 645 69 74";"ТЭ Хачаалиева Гуарша (чабан)";42.961891;47.550130;98 294.00;17;2026-02-01;2026-05-31
"Гастроном "Зарета" Лаптиева 30 "а" / Микаил - 928 677 83 44 ";"ТЭ Хачаалиева Гуарша (чабан)";42.968497;47.540365;103 662.00;10;2026-02-01;2026-05-31
"Гастроном "Кавказ",  ул.Габитова 14 б (Лаптиева 57 "а") / Рустам - 928 806 20 98";"ТЭ Хачаалиева Гуарша (чабан)";42.963215;47.552508;112 876.00;10;2026-02-01;2026-05-31
"Гастроном "Кенди" ул,Лаптиева 55 Т.8938 984 58 76";"ТЭ Хачаалиева Гуарша (чабан)";42.963518;47.550601;96 253.00;19;2026-02-01;2026-05-31
